manufacture ID,name,address,contact information
913,Super Flower,Oscar Road,Super Flower@hotmail.com
192,iBuypower,Giovanni Alley,iBuypower@gmail.com
92,CoolMax,King Street,CoolMax@yahoo.com
1000,Scythe,Harrison Avenue,Scythe@outlook.com
621,Dynapower,Angel Avenue,Dynapower@hotmail.com
267,NCASE,Lincoln Alley,NCASE@outlook.com
371,Golden Field,Cameron Road,Golden Field@yahoo.com
586,Dynatron,David Avenue,Dynatron@hotmail.com
359,Raidmax,Anthony Road,Raidmax@gmail.com
341,,Ivan Highway,@yahoo.com
749,Mars Gaming,Alex Alley,Mars Gaming@outlook.com
77,Inter-Tech,Graham Avenue,Inter-Tech@iCloud.com
47,Scythe,Emilio Alley,Scythe@hotmail.com
19,EK,Andres Avenue,EK@gmail.com
668,LEPA,Javier Road,LEPA@gmail.com
544,ID-COOLING,Matthew Street,ID-COOLING@hotmail.com
706,Intel,Matthew Alley,Intel@gmail.com
673,Apacer,Isaiah Road,Apacer@iCloud.com
255,Replace Power,Benjamin Avenue,Replace Power@yahoo.com
322,Chieftronic,Brody Avenue,Chieftronic@yahoo.com
295,Aerocool,James Avenue,Aerocool@iCloud.com
530,Diablotek,Judah Alley,Diablotek@outlook.com
759,Zero Infinity,Aaron Highway,Zero Infinity@outlook.com
580,Nanoxia,Ashton Street,Nanoxia@yahoo.com
102,SilentiumPC,Zachary Avenue,SilentiumPC@gmail.com
